#,Coin,Price,1h,24h,7d,24h Volume,Mkt Cap
1,Bitcoin  BTC  BTC,"$38,004.79",-1.1%,-6.0%,-6.9%,"$30,730,364,487","$722,182,112,965"
2,Ethereum  ETH  ETH,"$2,792.43",-1.7%,-7.3%,-8.8%,"$17,517,051,159","$336,526,079,861"
3,Tether  USDT  USDT,$1.00,0.1%,0.3%,0.1%,"$61,643,790,051","$83,063,483,766"
4,BNB  BNB  BNB,$383.16,-1.2%,-5.1%,-8.1%,"$1,538,257,793","$64,559,673,571"
5,USD Coin  USDC  USDC,$0.997776,-0.0%,-0.1%,-0.1%,"$4,903,542,979","$49,394,347,329"
6,Solana  SOL  SOL,$95.17,-2.1%,-5.9%,-6.9%,"$985,472,284","$31,916,795,238"
7,XRP  XRP  XRP,$0.634452,-3.0%,-9.0%,-17.5%,"$3,073,348,679","$30,857,105,417"
8,Terra  LUNA  LUNA,$88.45,-0.8%,-8.6%,-3.0%,"$2,642,253,547","$30,632,069,129"
9,Cardano  ADA  ADA,$0.823106,-2.3%,-8.2%,-12.2%,"$926,335,279","$26,574,273,877"
10,Polkadot  DOT  DOT,$16.46,-3.1%,-9.4%,-9.4%,"$471,665,408","$18,506,468,321"
11,Avalanche  AVAX  AVAX,$68.39,-1.6%,-5.9%,-12.0%,"$544,607,370","$18,418,960,055"
12,Dogecoin  DOGE  DOGE,$0.137605,-2.9%,-12.2%,-1.9%,"$4,009,818,060","$18,357,763,424"
13,TerraUSD  UST  UST,$1.00,-0.0%,0.1%,-0.2%,"$959,927,076","$18,327,971,679"
14,Binance USD  BUSD  BUSD,$0.997837,-0.2%,-0.5%,-0.1%,"$4,991,366,290","$17,466,612,414"
15,Shiba Inu  SHIB  SHIB,$0.000022793909,-2.0%,-6.7%,-9.8%,"$852,409,299","$12,600,754,318"
16,Wrapped Bitcoin  WBTC  WBTC,"$37,982.80",-1.1%,-6.0%,-7.0%,"$336,769,209","$10,659,018,695"
17,Lido Staked Ether  STETH  STETH,"$2,786.40",-1.8%,-7.5%,-8.9%,"$11,286,089","$10,092,322,349"
18,Cronos  CRO  CRO,$0.377845,-1.2%,-6.1%,-8.2%,"$55,150,816","$9,563,967,110"
19,NEAR Protocol  NEAR  NEAR,$12.54,-5.1%,-12.3%,-22.8%,"$999,350,505","$8,641,886,174"
20,Dai  DAI  DAI,$1.00,0.0%,-0.0%,-0.1%,"$270,075,165","$8,625,781,111"
21,Polygon  MATIC  MATIC,$1.23,-2.6%,-8.9%,-13.5%,"$517,090,016","$8,547,554,131"
22,Bonded Luna  BLUNA  BLUNA,$88.41,-0.3%,-8.5%,-1.3%,"$72,746,342","$7,503,235,928"
23,Litecoin  LTC  LTC,$97.52,-1.7%,-6.9%,-12.4%,"$632,002,531","$6,889,554,040"
24,TRON  TRX  TRX,$0.061917578975,-1.4%,-5.2%,0.6%,"$757,679,403","$6,312,544,809"
25,Cosmos Hub  ATOM  ATOM,$20.18,-2.2%,-8.9%,-16.2%,"$410,192,375","$5,905,806,811"
26,Chainlink  LINK  LINK,$12.25,-2.5%,-9.0%,-12.7%,"$406,176,660","$5,780,950,825"
27,Bitcoin Cash  BCH  BCH,$293.85,-1.6%,-6.6%,-13.7%,"$407,020,765","$5,622,216,962"
28,LEO Token  LEO  LEO,$5.82,-0.1%,-2.2%,-2.1%,"$2,609,170","$5,445,041,999"
29,FTX Token  FTT  FTT,$38.64,-1.6%,-7.8%,-11.0%,"$99,233,490","$5,296,135,630"
30,ApeCoin  APE  APE,$17.93,-2.0%,-3.0%,51.0%,"$2,132,055,384","$5,106,261,636"
31,OKB  OKB  OKB,$19.27,-1.8%,-5.0%,-3.1%,"$76,598,783","$5,020,276,712"
32,Stellar  XLM  XLM,$0.179795,-2.0%,-6.6%,-12.4%,"$231,913,576","$4,472,937,835"
